age,female,income,wealth
26,0,268920,-312573
25,1,163047,34689
25,0,0,-525268
22,1,35445,-64651
22,1,184514,-117646
20,0,193767,-136695
20,1,115792,263
20,0,23086,21483
20,1,47122,137523
19,0,35239,152054
18,1,55858,27700
18,1,9197,16269
17,1,4000,62
17,0,9058,961
16,1,14000,0
14,0,1072,0
10,0,0,0
10,1,0,0
8,1,0,0
8,1,0,0
8,1,0,0
5,1,0,0
4,0,0,0
2,0,0,0
72,1,0,84000
71,1,0,-11797
68,1,0,535684
66,0,0,687071
65,0,71080,533992
63,1,0,2983684
62,1,9478,30016
62,0,4286,212528
61,0,114628,1021471
61,1,960,200376
60,0,454651,517404
59,0,85445,475276
58,1,0,45495
58,0,227306,825735
58,1,0,196309
58,0,770994,3801117
58,1,439283,13449
55,0,78439,-36753
55,1,305221,-253162
55,0,246992,89866
54,1,187379,109613
53,1,280452,-123225
53,0,423316,1486589
51,0,830177,-390187
51,0,437710,-793868
51,1,0,9805
50,0,245035,915389
49,0,292447,45077
48,0,440874,472865
48,1,0,-70215
47,1,137369,256520
47,0,500914,-392688
46,0,571216,260980
45,0,390034,-634346
45,0,257366,90298
44,0,255844,-169697
42,0,158254,-411894
42,1,145952,-30390
42,0,453872,-1615005
41,1,268815,-363015
40,0,134555,-684226
40,1,237332,-371747
37,0,336331,-269377
37,0,285310,6050
36,1,11976,-153641
36,1,283521,-156416
35,1,182609,-182480
35,1,82010,-117166
33,0,196554,-1221193
33,0,1432,-118646
33,0,248157,-579941
32,0,147622,-76782
31,1,273862,-98559
30,1,0,193003
30,1,56914,-120405
30,1,186218,68591
29,1,108142,-310247
28,0,265653,-182110
26,1,17996,73015
24,0,52599,-61389
21,1,23159,-84038
20,0,195183,-110712
18,1,0,101
18,0,25962,-38
18,0,24254,6
16,0,18530,0
16,0,2437,0
16,0,14901,0
15,0,18838,0
14,1,2050,0
13,0,0,0
13,1,0,0
13,0,0,0
13,1,0,0
12,1,0,0
12,1,0,0
10,1,0,0
10,0,0,0
9,0,0,0
8,0,0,0
8,0,0,0
7,1,0,0
6,1,0,0
5,0,0,0
5,1,0,0
4,1,0,0
3,1,0,0
3,0,0,0
2,0,0,0
2,0,0,0
79,1,0,576628
77,0,0,288172
76,1,0,1298264
72,1,0,8894
66,1,20566,335553
61,0,282688,81998
60,1,282674,-615119
57,0,170045,-7753630
56,0,319355,39657
55,1,267816,23852
55,0,230768,-375589
54,0,139444,122999
54,1,188000,333600
53,1,244868,630421
50,1,140897,-1006338
49,1,275796,1283302
48,1,312311,0
47,0,379837,-1637912
47,1,264465,74789
46,0,498415,208412
46,0,471532,-408773
44,1,257812,24720
44,0,263350,-270510
43,1,258578,-196505
42,0,216000,110308
40,0,442784,-521438
40,1,349879,917033
40,1,341838,-118822
40,1,252162,-60221
39,0,16821,729511
39,1,245615,162953
37,1,0,-64519
34,1,69745,9054
33,1,143755,2811
30,1,166431,-96732
30,0,217874,-173452
27,0,387169,-78527
26,0,202444,-67750
25,1,236587,-408450
23,1,224561,-364423
21,0,36919,-29899
21,0,167723,1884
18,0,35850,4825
18,1,27656,30632
17,0,17201,32457
17,0,15932,5
16,0,14960,0
14,1,0,0
13,0,0,0
13,1,0,0
12,1,0,0
11,1,0,0
10,0,0,0
10,1,0,0
5,0,0,0
5,1,0,0
5,0,0,0
4,1,0,0
3,1,0,0
2,0,0,0
2,1,0,0
0,0,0,0
88,1,0,116873
76,0,19350,70972
71,0,0,41179
70,0,0,793917
62,1,254010,244639
62,1,6200,452616
61,0,751507,4862419
59,0,323211,486922
58,1,87380,37518
57,0,134741,-110625
55,0,253687,-2151
54,0,406958,53106
53,1,178687,-118407
52,0,241107,772340
51,1,0,0
47,1,128660,-31982
44,0,332722,313006
42,0,325925,512670
42,0,239764,224424
42,1,45804,271263
42,1,206063,58701
42,1,148658,-36529
40,1,275100,1920018
40,0,489318,-30097
40,1,215016,22567
40,0,281099,276443
38,0,242319,-86268
37,1,135859,99675
34,1,186410,157746
34,0,320706,-261110
29,1,71928,141357
29,0,17889,53427
28,0,148743,-557385
28,0,283652,-504502
23,1,196067,30726
21,0,0,-60037
20,0,177660,69731
20,1,71265,28126
20,1,13206,-59855
20,0,33913,24396
19,1,80954,-799
19,1,42435,-17297
18,0,0,67854
16,1,0,0
16,1,0,0
16,0,1118,0
14,1,0,0
14,1,4120,0
13,0,0,0
13,1,0,0
12,1,0,0
11,1,0,0
10,1,0,0
10,0,0,0
8,1,0,0
8,1,0,0
6,0,0,0
4,1,0,0
4,0,0,0
0,0,0,0
91,0,5179,1675776
79,1,0,678518
73,0,4245,68230
72,1,10961,90811
69,1,0,11992
68,1,0,2308
66,1,0,10558
62,0,276121,589021
60,1,0,399568
59,1,0,106748
59,0,365381,1268770
57,0,270800,2813000
57,1,143202,32192
57,0,285722,83894
57,1,0,57625
